"","cowcode","year","warstds","ager","agexp","anoc","army85","autch98","auto4","autonomy","avgnabo","centpol3","coldwar","decade1","decade2","decade3","decade4","dem","dem4","demch98","dlang","drel","durable","ef","ef2","ehet","elfo","elfo2","etdo4590","expgdp","exrec","fedpol3","fuelexp","gdpgrowth","geo1","geo2","geo34","geo57","geo69","geo8","illiteracy","incumb","infant","inst","inst3","life","lmtnest","ln_gdpen","lpopns","major","manuexp","milper","mirps0","mirps1","mirps2","mirps3","nat_war","ncontig","nmgdp","nmdp4_alt","numlang","nwstate","oil","p4mchg","parcomp","parreg","part","partfree","plural","plurrel","pol4","pol4m","pol4sq","polch98","polcomp","popdense","presi","pri","proxregc","ptime","reg","regd4_alt","relfrac","seceduc","second","semipol3","sip2","sxpnew","sxpsq","tnatwar","trade","warhist","xconst"
"11",700,1955,0,85,8.53266818,0,129951.5174,0,10,0,0,1,1,0,0,0,0,0,0,0,70,20,54,0.750796974,0.563696086,90,66,2216.367091,1,33.57347163,2,0,15.30308626,0.022527656,0,0,0,1,0,0,34.07921263,0,68.71090591,0,0,61.348005,4.198705196,-1.108662605,16.3533268,0,32.8181212,119.9211626,0,0,1,0,0,0,4512.430267,-7,8,0,0,0,1,4,1,0,0.379999995,84,-10,-10,100,0,1,118.6398118,0,87.90999021,3.08e-33,132,1,0,0.271800011,43.7724263,0.252999991,0,0,0.157986075,0.052805164,0,72.77356993,0,1
"12",700,1956,0,86,8.488276085,0,129301.5414,0,10,0,0,1,1,0,0,0,0,0,0,0,70,20,55,0.750796974,0.563696086,90,66,2219.911697,1,33.55854713,2,0,15.58964898,0.022326296,0,0,0,1,0,0,34.17827901,0,69.03930826,0,0,61.28020476,4.198705196,-1.046969056,16.37196159,0,32.67739616,120.0052722,0,0,1,0,0,0,4491.586668,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-10,-10,100,0,1,118.1155425,0,87.96537768,7.7e-34,144,1,0,0.271800011,43.54690322,0.252999991,0,0,0.158135585,0.052595956,0,72.9270313,0,1
"13",700,1957,0,87,8.534171523,0,130448.1716,0,10,0,0.25,1,1,0,0,0,0,0,0,0,70,20,56,0.750796974,0.563696086,90,66,2215.326882,1,33.58230005,2,0,15.30842779,0.022488225,0,0,0,1,0,0,34.04032204,0,68.63284179,0,0,61.36094959,4.198705196,-0.898942053,16.38498878,0,32.84336329,120.8477488,0,0,1,0,1,0,4515.889693,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-10,-10,100,0,1,119.079787,0,87.96008121,1.93e-34,156,1,0,0.271800011,43.79421266,0.252999991,0,0,0.157932696,0.052746654,1,72.79604595,0,1
"14",700,1958,0,88,8.529869799,0,131597.9472,0,10,0,0.25,1,1,0,0,0,0,0,0,0,70,20,57,0.750796974,0.563696086,90,66,2211.291817,1,33.55505867,2,0,15.2865219,0.022528143,0,0,0,1,0,0,34.02156096,0,68.58603176,0,0,61.38003908,4.198705196,-0.848632097,16.40116692,0,32.90372292,122.6379523,0,0,1,0,0,0,4519.279122,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-10,-10,100,0,1,118.6502649,0,88.01357549,4.81e-35,168,1,2,0.271800011,43.85197811,0.252999991,0,0,0.15770938,0.052697671,0,72.70016707,0,1
"15",700,1959,0,89,8.525313872,0,131245.821,0,10,0,0,1,1,0,0,0,0,0,0,0,70,20,58,0.750796974,0.563696086,90,66,2211.542859,1,33.58661087,2,0,15.33657639,0.022504983,0,0,0,1,0,0,34.01656168,0,68.58528146,0,0,61.38257868,4.198705196,-0.78965807,16.41076469,0,32.86770525,121.8285253,0,0,1,0,0,0,4516.797844,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-10,-10,100,0,1,118.8240748,0,87.99286633,1.2e-35,180,1,-1,0.271800011,43.86732966,0.252999991,0,0,0.157917876,0.052793818,0,72.77011266,0,1
"16",700,1960,0,90,8.581365541,0,129057.9163,0,10,0,0,1,1,1,0,0,0,0,0,0,70,20,59,0.750796974,0.563696086,90,66,4356,1,33.52857352,2,0,15.33846398,0.022438973,0,0,0,1,0,0,34.31077006,0,69.3059675,0,0,61.20961622,4.198705196,-0.740238786,16.42469788,0,32.50103896,118.8070956,0,0,1,0,0,0,1383.666626,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-10,-10,100,0,1,117.80431,0,87.66535412,3.01e-36,192,1,2,0.271800011,43.41611223,0.252999991,0,0,0.158571886,0.05297231,0,72.69955171,0,1
"17",700,1961,0,91,8.562673263,0,47000,0,10,0,0,1,1,1,0,0,0,0,0,0,70,20,60,0.750796974,0.563696086,90,66,4356,1,4.132233143,2,0,15.32559615,0.022501619,0,0,0,1,0,0,34.1638839,0,68.98536588,0,0,34,4.198705196,-0.685178995,16.43596649,0,32.70002418,60,0,0,1,0,0,0,1324,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-10,-10,100,0,1,15.66186047,0,9,7.52e-37,204,1,-1,0.271800011,1,0.252999991,0,0,0.158188118,0.052912295,0,11.15703011,0,1
"18",700,1962,0,92,8.560197545,0,47000,0,10,0,0,1,1,1,0,0,0,0,0,0,70,20,61,0.750796974,0.563696086,90,66,4356,1,4.453444004,2,0,15.30233462,0.022549208,0,0,0,1,0,0,34.17382585,0,69.02680313,0,0,34,4.198705196,-0.59602046,16.44790268,0,32.69181007,77,0,0,1,0,0,0,1351.333374,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-10,-10,100,0,1,15.98274994,0,9,1.88e-37,216,1,-3,0.271800011,1,0.252999991,0,0,0.158075465,0.05275443,0,12.55060959,0,1
"19",700,1963,0,93,8.541015074,0,47000,0,10,0,0,1,1,1,0,0,0,0,0,0,70,20,62,0.750796974,0.563696086,90,66,4356,1,4.878050804,2,0,15.29738262,0.022579722,0,0,0,1,0,0,34.11304286,0,68.85612978,0,0,34,4.198705196,-0.576253474,16.46005249,0,32.77836633,90,0,0,1,0,0,0,1366.333374,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-10,-10,100,0,1,16.3210392,0,9,4.7e-38,228,1,-3,0.271800011,1,0.252999991,0,0,0.157719339,0.052623954,0,14.22764015,0,1
"20",700,1964,0,94,61.1004982,0,47000,0,10,0,0.0078924,1,1,1,0,0,0,0,0,0,70,20,63,0.750796974,0.563696086,90,66,4356,1,9.171601295,2,0,15.21407305,0.022528462,0,0,0,1,0,0,34.16351695,0,69.0132379,0,1,34,4.198705196,-0.534435451,16.47100258,0,9.467359543,100,0,0,1,0,0,0,1451.333374,-7.5,8,0,0,0,1,4,1,0,0.379999995,84,-10,-10,100,0,1,16.67551994,0,9,1.18e-38,240,1,-1.5,0.271800011,1,0.252999991,0,0,0.157881216,0.05269919,0,26.03550911,0,1
